date,value,satellite_flag
2023-12-14 20:00,0.0000,11000000000000000000000000000000
2023-12-14 21:00,0.0000,11000000000000000000000000000000
2023-12-14 22:00,0.0000,01000000000000000000000000100000
2023-12-14 23:00,0.0000,11000000000000000000000000000000
2023-12-15 00:00,0.0000,11000000000000000000000000000000
2023-12-15 01:00,0.0000,11000000000000000000000000000000
2023-12-15 02:00,0.0000,01000000000000100000000000000000
2023-12-15 03:00,0.0000,11000000000000000000000000000000
2023-12-15 04:00,0.0000,11000000000000000000000000000000
2023-12-15 05:00,0.0000,11000000000000000000000000000000
2023-12-15 06:00,0.0000,01000000000000010000000000000000
2023-12-15 07:00,0.0000,11000000000000000000000000000000
2023-12-15 08:00,0.0000,01000000000001000010000000000000
2023-12-15 09:00,0.0000,11000000000000000000000000000000
2023-12-15 10:00,0.0000,01000000000000000000000000100000
2023-12-15 11:00,0.0000,11000000000000000000000000000000
2023-12-15 12:00,0.0000,11000000000000000000000000000000
2023-12-15 13:00,0.0000,11000000000000000000000000000000
2023-12-15 14:00,0.0000,01000000000000100000000000000000
2023-12-15 15:00,0.0000,11000000000000000000000000000000
2023-12-15 16:00,0.0000,11000000000000000000000000000000
2023-12-15 17:00,0.0000,11000000000000000000000000000000
2023-12-15 18:00,0.0000,11000000000000000000000000000000
2023-12-15 19:00,0.0000,11000000000000000000000000000000
2023-12-15 20:00,0.0000,11000000000000000000000000000000
2023-12-15 21:00,0.0000,11000000000000000000000000000000
2023-12-15 22:00,0.0000,11000000000000000000000000000000
2023-12-15 23:00,0.0000,11000000000000000000000000000000
2023-12-16 00:00,0.0000,11000000000000000000000000000000
2023-12-16 01:00,0.0000,01000000000000100000000000000000
2023-12-16 02:00,0.0000,11000000000000000000000000000000
2023-12-16 03:00,0.0000,11000000000000000000000000000000
2023-12-16 04:00,0.0000,11000000000000000000000000000000
2023-12-16 05:00,0.0000,11000000000000000000000000000000
2023-12-16 06:00,0.0000,11000000000000000000000000000000
2023-12-16 07:00,0.0000,01000000000001000000000000000000
2023-12-16 08:00,0.0000,01000000000000000010000000000000
2023-12-16 09:00,0.0000,11000000000000000000000000000000
2023-12-16 10:00,0.0000,01000000000000000000000000100000
2023-12-16 11:00,0.0000,11000000000000000000000000000000
